"id","apotacion_infonavit","cesantia_vejez_e","cesantia_vejez_p","rt_clase1","rt_clase2","rt_clase3","rt_clase4","rt_clase5","enf_mat_cuota_fija","dias_min_trabajados","enf_mat_excedente_e","enf_mat_excedente_p","fecha_fin","fecha_inicio","enf_mat_gastos_med_e","enf_mat_gastos_med_p","sbcm_general","guarderia_p","importe_utilidades","inv_vida_e","inv_vida_p","name","sbcm_inv_inf","imss_mes","enf_mat_prestaciones_e","enf_mat_prestaciones_p","retiro_p","salario_minimo","umi","uma","total_sueldo_percibido","total_dias_trabajados","tabla_subem/lim_inf","tabla_subem/s_mensual","tabla_mensual/mes","tabla_mensual/no_dias","tabla_mensual/dia_inicio","tabla_mensual/dia_fin","tabla_LISR/lim_inf","tabla_LISR/s_excedente","tabla_LISR/c_fija","tabla_ISR_periodo/c_fija","tabla_ISR_periodo/lim_inf","tabla_ISR_periodo/s_excedente","tabla_ISR_anual/c_fija","tabla_ISR_anual/lim_inf","tabla_ISR_anual/s_excedente","tabla_bimestral/no_dias","tabla_bimestral/dia_inicio","tabla_bimestral/dia_fin","tabla_antiguedades/aguinaldo","tabla_antiguedades/antiguedad","tabla_antiguedades/prima_vac","tabla_antiguedades/vacaciones"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26988.51","23.52","4323.58","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42537.59","30.0","7980.73","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81211.26","32.0","19582.83","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108281.68","34.0","28245.36","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","324845.02","35.0","101876.9","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15","318.01","6.4","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158.55","2699.41","10.88","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","381.0","4744.06","16.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","504.3","5514.76","17.92","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","699.3","6602.71","21.36","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2133.3","13316.71","23.52","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3937.8","20988.91","30.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9662.55","40071.31","32.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13936.8","53428.51","34.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50268.15","160285.36","35.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148.51","7735.01","6.4","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3855.14","65651.08","10.88","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9265.2","115375.91","16.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12264.16","134119.42","17.92","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17005.47","160577.66","21.36","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51883.01","323862.01","23.52","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95768.74","510451.01","30.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234993.95","974535.04","32.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338944.34","1299380.05","34.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1222522.76","3898140.13","35.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2021-03-01","2021-04-30","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2021-05-01","2021-06-30","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0","2021-07-01","2021-08-31","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2021-09-01","2021-10-31","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2021-11-01","2021-12-31","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","2.0","25.0","8.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","3.0","25.0","10.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","4.0","25.0","12.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","5.0","25.0","14.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","10.0","25.0","16.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","15.0","25.0","18.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","20.0","25.0","20.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","25.0","25.0","22.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","30.0","25.0","24.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","35.0","25.0","26.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","40.0","25.0","28.0"
"__export__.tablas_cfdi_4_f8799fda","5.0","1.125","3.15","0.55456","1.130658","2.59844","4.65325","7.58875","20.4","0.0","0.4","1.1","","","0.375","1.05","25.0","1.0","0.0","0.625","1.75","TABLAS 2021 (semanal)","25.0","30.4","0.25","0.7","2.0","141.7","84.55","89.62","0.0","0.0","0.01","407.02","Enero / Periodo 1","28.0","2020-12-31","2021-01-27","0.01","1.92","0.0","0.0","0.01","1.92","0.0","0.01","1.92","59.0","2021-01-01","2021-02-28","15.0","1.0","25.0","6.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1768.97","406.83","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2653.39","406.62","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3472.85","392.77","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3537.88","382.46","","","","","","","","","","","","","","","","","","","",""
